player_id,player,player_role,key_cricinfo
33f28243,Naved-ul-Hasan,Bowler,42272.0
340db614,A Maregwede,Batter,55573.0
342d8ade,CRD Fernando,Bowler,48835.0
34464143,Zeeshan Maqsood,Batter,585083.0
3473e5f2,DS Weerakkody,Batter,499592.0
348195ea,GW Flower,Batter,55429.0
34b332d3,DC Drakes,Bowler,906749.0
34c823b0,D Keulder,Batter,24796.0
34cb2f69,Hamza Tahir,Bowler,751151.0
34d2ca48,LP van Troost,Batter,24969.0
34ff9e07,PA de Silva,All-Rounder,48462.0
350bb1b1,AF Milne,Unclassified,450860.0
35205dfc,DR Smith,Batter,53118.0
3560a786,C Madande,Batter,1045883.0
3576e47e,S Badrinath,Batter,26806.0
35971419,Waqas Khan,Batter,633426.0
359e430a,DCC Borden,Bowler,23756.0
35aa26af,A Flower,Batter,55427.0
35f4cf7e,Kamran Ghulam,Batter,623636.0
364ee2cf,SJ Benn,Unclassified,51248.0
365229a8,K Doriga,Batter,646173.0
3674b3c1,K Phillip,Unclassified,1150684.0
36d33dd0,RR Sarwan,Batter,52969.0
36fc8d18,GM Ewing,Bowler,55419.0
3703d634,S Weerakoon,Unclassified,50914.0
37137c8b,BV Vitori,Unclassified,235514.0
37138918,Afif Hossain,Batter,935995.0
372455c4,Q de Kock,Batter,379143.0
37312a74,Mudassar Bukhari,Bowler,245166.0
374bb5e7,K Klein,Bowler,1195670.0
37654b75,Nasum Ahmed,Unclassified,348049.0
3766056b,BJ McCarthy,Bowler,348059.0
37b67a54,MDJ Walker,Unclassified,38760.0
37f501d7,HH Streak,Unclassified,55761.0
3812d56b,MH Yardy,Batter,23523.0
38214163,M Faraz Akram,Bowler,1122851.0
383dd431,TD Astle,All-Rounder,213674.0
3847ec84,JI de Villiers,Unclassified,948659.0
39086549,JR Philippe,Batter,1124282.0
390ff45b,Abdul Razzaq,All-Rounder,39836.0
395179e8,D Parashar,All-Rounder,1294144.0
3967930c,RL Johnson,Bowler,15522.0
39713d08,Mohammad Boota,Batter,1125867.0
3979b5e0,L Tucker,Batter,928057.0
397f4d3a,BM Wheeler,Unclassified,440523.0
39ef812b,S Keshvani,Unclassified,23879.0
39f01cdb,KP Pietersen,Batter,19296.0
3a026eb4,Rizwan Cheema,Bowler,361952.0
3a0f6df2,Zulfiqar Babar,Unclassified,43871.0
3a60e0b5,WD Parnell,Bowler,265564.0
3a7ea906,VJ Kingma,Bowler,416103.0
3a9adcce,CJ Smith,Batter,23691.0
3abe1ef6,A Ndlovu,Bowler,596456.0
3b041a12,Tamim Iqbal,Batter,56194.0
3b417422,T Panyangara,Unclassified,55705.0
3b50c63a,KS Lokuarachchi,Bowler,49557.0
3b53243a,XC Bartlett,Bowler,1050545.0
3b8e7647,SP Krishnamurthi,Batter,1277627.0
3c00e140,Lovepreet Singh,Batter,1241238.0
3c4007d3,Sagar Pun,Batter,524095.0
3c55c703,JG Bethell,All-Rounder,1194959.0
3c6ffae8,YK Pathan,Batter,32498.0
3c87f0c3,JN Frylinck,All-Rounder,482478.0
3cacbb57,A Martin,Bowler,245373.0
3ce127f2,Asif Iqbal (1),Batter,39898.0
3cf5ae43,Yasir Arafat,Unclassified,43654.0
3cf83487,AJ Bichel,All-Rounder,4146.0
3d0ed2f9,JT Ball,Unclassified,414990.0
3d189742,Shabbir Ahmed,Bowler,42632.0
3d284ca3,PD Salt,Batter,669365.0
3d5d51a5,T Marumani,Batter,946507.0
3d8feaf8,MR Marsh,All-Rounder,272450.0
3de06845,S Vesawkar,Batter,25977.0
3df3f50b,Waheed Ahmed,Unclassified,950309.0
3e326efc,JNT Vare,Unclassified,25065.0
3e51db81,C Zhuwao,Batter,235532.0
3e722460,CR Foggo,Batter,23700.0
3e91a87f,TJ Friend,Batter,55438.0
3eac9d95,JDP Oram,All-Rounder,38062.0
3eb7c45d,Imran Nazir,Batter,40563.0
3edb58fc,AD Mascarenhas,Batter,16932.0
3ee0050f,PM Liyanagamage,Unclassified,826689.0
3ee90b67,Khalid Kail,Batter,624813.0
3f18724b,MC Sorensen,Bowler,531953.0
3f4b9ae5,Abdul Jabbar,Batter,313526.0
3f5f39cd,Al-Amin Hossain,Bowler,511532.0
3f61a062,BTJ Wheal,Bowler,807535.0
3f659464,OP Stone,Unclassified,457279.0
3fb197cd,TMK Mawoyo,Batter,55597.0
3fb19989,MA Starc,Bowler,311592.0
3fb56752,Shahid Ahmadzai,Unclassified,1120355.0
3fbb43a9,Saad Nasim,Batter,317248.0
3fc3b204,Mushfiqur Rahman,Batter,55976.0
3feda4fa,RL Chase,Batter,391832.0
3ff033bb,MD Shanaka,Batter,437316.0
400e2d4d,FDM Karunaratne,Batter,227772.0
40c041ea,Imam-ul-Haq,Batter,568276.0
4167f30b,IG Holland,All-Rounder,334340.0
4180d897,JE Taylor,Bowler,53191.0
41c8bae3,KT Sandher,Bowler,23824.0
41eb4a4f,R Vinay Kumar,Unclassified,35731.0
41fc1ece,BB Chari,Batter,427178.0
42172c3c,JT Smuts,All-Rounder,280490.0
42537f07,JA Rudolph,Batter,47015.0
42a05795,GW Aldridge,Unclassified,36187.0
42bf1b7d,H Carlyon,Batter,1062706.0
42d1b920,WCA Ganegama,Unclassified,49008.0
4329fbb5,SR Watson,All-Rounder,8180.0
4347a4ae,AJ Burger,All-Rounder,24839.0
434e36b1,UDU Chandana,Bowler,48369.0
436c763a,BJ McMullen,All-Rounder,949473.0
4373c57e,JH Stander,Unclassified,298195.0
43936951,DR Tuffey,Bowler,38620.0
43b375d4,Abdur Rauf,Bowler,39084.0
43f4087c,NA Rock,Batter,1112535.0
441b1b20,LS Baker,Bowler,51431.0
4487cc09,LOB Cann,Batter,23681.0
449f4e3c,B Muzarabani,Unclassified,827051.0
44a2bb4f,U Bhagwan,Unclassified,1387900.0
44d6a8b8,Ayan Khan,Batter,956319.0
45477249,MO Odumbe,All-Rounder,24708.0
4557dc54,PA van Meekeren,Bowler,348109.0
45642393,Muhammad Usman,Batter,974719.0
45963d9e,N Dickwella,Batter,429754.0
45a43fe2,RD Gaikwad,Batter,1060380.0
45a7e761,Shaheen Shah Afridi,Bowler,1072470.0
45c2196c,DE Bollinger,Bowler,4508.0
45d4cb14,RD Shah,Batter,24719.0
45de8d3e,Samiullah Khan,Unclassified,43235.0
45df0e72,CJ Bowes,Batter,379890.0
45eda7c8,CA Lynn,Batter,326637.0
46050f42,GA Rogers,Unclassified,272473.0
462411b3,JJ Bumrah,Bowler,625383.0
462d7c62,D Paterson,Unclassified,327947.0
463cd7cb,CD Cumming,Batter,36627.0
465aa633,N Burger,Bowler,971349.0
4663bd23,TL Seifert,Unclassified,625964.0
469ccead,CB Sole,Bowler,671823.0
469ea22b,KMDN Kulasekara,Bowler,49535.0
474a8333,Nasir Javed,Unclassified,25625.0
4751caa3,CBRLS Kumara,Unclassified,784375.0
478a63e7,C Campher,All-Rounder,595921.0
47c5aae7,AM Bacher,Batter,44024.0
47d00fb5,RL Bhudia,Unclassified,24773.0
480ed517,Imran Farhat,Batter,40582.0
48301a4b,D la Cock,Batter,1178065.0
4861d29b,Mohammad Naveed,Bowler,533862.0
488b7e1b,SHT Kandamby,Batter,49363.0
48a1d7b7,SO Hetmyer,Batter,670025.0
48ad3373,BM Tickner,Unclassified,854909.0
48f177f5,AJ Redmond,Batter,38264.0
48fa71c3,Mohammad Iqbal,Batter,41440.0
48fd7349,MEK Hussey,Batter,5939.0
49118dc7,SO Ngoche,Bowler,308515.0
49212b50,DA Minors,Batter,23688.0
4933f499,JP Behrendorff,Bowler,272477.0
4948a447,Farhad Reza,Unclassified,55894.0
4957b300,A Neill,Bowler,1148466.0
495d42a5,R Ashwin,Bowler,26421.0
49691d7a,CB Mpofu,Unclassified,55633.0
4992d6f6,ST Doheny,Batter,961401.0
49b6c09f,JC Tredwell,Bowler,21646.0
49dc9cb4,KAR Hodge,Batter,348091.0
49dfe4a4,EJ Richardson,Unclassified,364302.0
4a25c894,HAPW Jayawardene,Unclassified,49236.0
4a36c370,N Madziva,Bowler,453289.0
4a461c24,LA Dawson,Unclassified,211855.0
4a745f65,AR Nurse,Unclassified,315594.0
4a84f573,T Duffin,Batter,55391.0
4a8a2e3b,MS Dhoni,Batter,28081.0
4aad78d3,K Zondo,Batter,318842.0
4ae1755b,HC Brook,Batter,911707.0
4aef496b,Nazimuddin,Batter,56059.0
4b2d6789,TS Chisoro,Bowler,235519.0
4b57e452,M Vijay,Batter,237095.0
4ba44e19,M Muralitharan,Bowler,49636.0
4bc0a378,WP Masakadza,Unclassified,571703.0
4c3bd588,Sami Faridi,Unclassified,43041.0
4c4a06fb,Nasir Jamshed,Batter,42321.0
4c4fa80b,SMSM Senanayake,Bowler,273439.0
4c5d73db,CR Woakes,Bowler,247235.0
4c61a0f9,NW Bracken,Bowler,4185.0
4c7df2c8,Mohammad Shahzad,Bowler,738445.0
4c931d56,AA Donald,Unclassified,44716.0
4cbce738,D Daesrath,Unclassified,51739.0
4cbf2e06,Saad Ali,Unclassified,547085.0
4cd3960e,KADM Fernando,Unclassified,48821.0
4d05a82e,Mohammad Kashif,Bowler,243073.0
4d1ec7eb,A Nao,Unclassified,524247.0
4d220a66,CJ Nevin,Batter,38009.0
4d3097d8,GJ Hopkins,Unclassified,37248.0
4d6d6280,Salman Butt,Batter,42683.0
4d7f517e,AJ Hosein,Bowler,530812.0
4d84ad05,CJA Amini,Batter,332980.0
4d9f9686,Soumya Sarkar,Batter,436677.0
4dcd505e,Jamaluddin Ahmed,Unclassified,55938.0
4e1b02fb,Kamran Hussain,All-Rounder,41058.0
4e1b4323,TS Kamunhukamwe,Batter,713811.0
4e1c9f6e,Sandeep Goud,Batter,1174024.0
4e5cf2d6,Afzaal Haider,Unclassified,39121.0
4ebc70ca,GT Main,All-Rounder,470777.0
4ec07775,RN ten Doeschate,All-Rounder,47660.0
4f629497,SE Bond,Bowler,36326.0
4f7279a4,Raza Hasan,Unclassified,343548.0
4fc516bd,HMCM Bandara,Bowler,48284.0
4ff67681,MM Iqbal,Batter,25433.0
50250426,Asad Shafiq,Batter,316397.0
502b2c81,XJ Doherty,Unclassified,5017.0
5056011d,GJ Bailey,Batter,4451.0
